p.accession,p.type,target.LPGF,decoy.LPGF
NP_057737.2,master,inf,0.09783113943933869
NP_057253.2,master,6.644417268223514,0.998779016395121
NP_598407.1,master,inf,1.1918524432515776
NP_001341917.1,master,inf,0.3455802491731449
NP_001341912.1,master,inf,0.317592412044325
NP_001341743.1,master,inf,0.30355188051382537
NP_001341501.1,master,12.099191773536935,0.5141854801390116
NP_001339705.1,master,inf,0.08292105994834723
NP_001336665.1,master,inf,0.6192000939380128
NP_001336001.1,master,inf,0.3237222995121542
NP_001335010.1,master,3.1442655054313424,0.5677925408210462
NP_001334596.1,master,inf,0.27830779769605435
NP_001334395.1,master,inf,0.09176585322232929
NP_001317318.1,master,15.255619765854984,0.3955579506341436
NP_001313406.1,master,inf,0.49350224198375126
NP_001311210.1,master,inf,0.7484409793833692
NP_001269460.1,master,inf,0.09142409524289198
NP_001268461.1,master,8.717791204523998,0.1342648618467959
NP_001243728.1,master,11.351499552378785,1.3383337894058955
NP_001229712.1,master,inf,0.715737461123659
NP_478102.2,master,11.917561890435229,0.03699947876384112
NP_001171271.1,master,inf,0.03318905380055886
NP_001161752.1,master,inf,0.4221981197233011
NP_612635.3,master,inf,0.12678032431658778
NP_689645.2,master,inf,0.23628496754021722
NP_056056.2,master,inf,0.15385558957680345
NP_001121636.1,master,inf,3.4857768654970513
NP_001997.5,master,inf,0.44560808480602193
NP_001092763.1,master,1.8938649367372173,0.12050578233354994
NP_001073592.1,master,inf,0.034422643007336634
NP_116256.2,master,3.0424228461079235,0.5083377164326933
NP_036360.3,master,inf,0.011235509763213341
NP_000544.2,master,inf,0.21831854343308477
NP_061830.3,master,inf,0.24047220941693717
NP_055205.2,master,inf,0.0557928386370543
NP_775786.2,master,10.8218467327192,0.5691404940781439
NP_055969.1,master,inf,0.14826967002424163
NP_001025030.1,master,inf,0.07426060161238356
NP_003371.2,master,inf,0.04736454155666928
NP_001002914.1,master,7.219554819800608,0.16647006315111562
NP_001420.2,master,inf,0.07277492529471047
NP_001001522.1,master,inf,0.007947416485513793
NP_291028.3,master,inf,0.5487288513771637
NP_001131.3,master,inf,0.23056423875609838
NP_060522.3,master,inf,0.6873402726230126
NP_598368.2,master,10.841850747830831,0.14789385748464648
NP_006327.2,master,inf,0.2416278790421924
NP_036286.2,master,13.636526435228241,1.2122787671586897
NP_006005.2,master,inf,0.11799995630934146
NP_612367.1,master,inf,0.22948790256643492
NP_113668.2,master,11.732914773120234,1.4728114401456796
NP_000552.2,master,10.067290431276689,0.9095861373768026
