p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_057737.2,master,inf,0.09783113943933867,true,tb
NP_057253.2,master,6.644417268223513,0.9987790163951209,true,tb
NP_598407.1,master,inf,1.1918524432515776,true,tb
NP_001341917.1,master,inf,0.3455802491731449,true,tb
NP_001341912.1,master,inf,0.31759241204432503,true,tb
NP_001341743.1,master,inf,0.30355188051382537,true,tb
NP_001341501.1,master,12.099191773536935,0.5141854801390116,true,tb
NP_001339705.1,master,inf,0.08292105994834723,true,tb
NP_001336665.1,master,inf,0.6192000939380128,true,tb
NP_001336001.1,master,inf,0.3237222995121542,true,tb
NP_001335010.1,master,3.1442655054313424,0.5677925408210462,true,tb
NP_001334596.1,master,inf,0.27830779769605435,true,tb
NP_001334395.1,master,inf,0.09176585322232927,true,tb
NP_001317318.1,master,15.255619765854984,0.3955579506341436,true,tb
NP_001313406.1,master,inf,0.4935022419837513,true,tb
NP_001311210.1,master,inf,0.7484409793833692,true,tb
NP_001269460.1,master,inf,0.09142409524289198,true,tb
NP_001268461.1,master,8.717791204523998,0.1342648618467959,true,tb
NP_001243728.1,master,11.351499552378785,1.3383337894058955,true,tb
NP_001229712.1,master,inf,0.715737461123659,true,tb
NP_478102.2,master,11.917561890435225,0.03699947876384112,true,tb
NP_001171271.1,master,inf,0.033189053800558865,true,tb
NP_001161752.1,master,inf,0.4221981197233011,true,tb
NP_612635.3,master,inf,0.12678032431658778,true,tb
NP_689645.2,master,inf,0.2362849675402172,true,tb
NP_056056.2,master,inf,0.15385558957680345,true,tb
NP_001121636.1,master,inf,3.485776865497052,true,tb
NP_001997.5,master,inf,0.4456080848060219,true,tb
NP_001092763.1,master,1.8938649367372171,0.12050578233354994,true,tb
NP_001073592.1,master,inf,0.034422643007336634,true,tb
NP_116256.2,master,3.0424228461079235,0.5083377164326933,true,tb
NP_036360.3,master,inf,0.011235509763213341,true,tb
NP_000544.2,master,inf,0.2183185434330848,true,tb
NP_061830.3,master,inf,0.2404722094169372,true,tb
NP_055205.2,master,inf,0.0557928386370543,true,tb
NP_775786.2,master,10.8218467327192,0.5691404940781439,true,tb
NP_055969.1,master,inf,0.14826967002424166,true,tb
NP_001025030.1,master,inf,0.07426060161238356,true,tb
NP_003371.2,master,inf,0.04736454155666928,true,tb
NP_001002914.1,master,7.2195548198006065,0.16647006315111562,true,tb
NP_001420.2,master,inf,0.07277492529471047,true,tb
NP_001001522.1,master,inf,0.007947416485513793,true,tb
NP_291028.3,master,inf,0.5487288513771637,true,tb
NP_001131.3,master,inf,0.2305642387560984,true,tb
NP_060522.3,master,inf,0.6873402726230126,true,tb
NP_598368.2,master,10.841850747830833,0.14789385748464648,true,tb
NP_006327.2,master,inf,0.2416278790421924,true,tb
NP_036286.2,master,13.636526435228241,1.2122787671586897,true,tb
NP_006005.2,master,inf,0.11799995630934144,true,tb
NP_612367.1,master,inf,0.2294879025664349,true,tb
NP_113668.2,master,11.732914773120234,1.4728114401456796,true,tb
NP_000552.2,master,10.067290431276687,0.9095861373768026,true,tb
NP_006006.3,master,inf,0.6201534743453548,true,tb
NP_612468.1,master,6.946896610928763,0.2043318210173332,true,tb
NP_000966.2,master,inf,1.634870250144172,true,tb
NP_061485.1,master,13.273348532815413,0.3261240513277656,true,tb
NP_059830.1,master,inf,0.8072424823158005,true,tb
NP_060277.1,master,inf,0.017840418602718944,true,tb
NP_058642.1,master,inf,0.6349483162912671,true,tb
NP_057604.1,master,inf,0.11027264828426983,true,tb
NP_057416.1,master,inf,0.0016094794172852088,true,tb
NP_006133.1,master,inf,0.0700504020449486,true,tb
NP_005944.1,master,9.545223965875907,0.00014850489422328915,true,tb
NP_004824.1,master,7.138518601085481,1.5543903749269925,true,tb
NP_000031.1,master,inf,0.09461408254280802,true,tb
NP_000978.1,master,inf,0.002514165701959784,true,tb
NP_002658.1,master,10.43449944207816,0.062064440392018624,true,tb
NP_002183.1,master,inf,0.1844867586666107,true,tb
NP_002064.1,master,4.585886841527295,0.02791891031179621,true,tb
NP_001120871.1,master,inf,0.14937332371517106,true,tb
NP_001309125.1,master,8.509006581674956,0.13534679359971427,true,tb
NP_001309043.1,master,inf,1.5562384393408788,true,tb
NP_001308123.1,master,9.53051183174241,0.4333309021022107,true,tb
NP_001307730.1,master,inf,0.18369403293018108,true,tb
NP_001307540.1,master,inf,0.018785449192899317,true,tb
NP_001307393.1,master,inf,0.3221794511492204,true,tb
NP_001306130.1,master,inf,0.8152261930305971,true,tb
NP_001305825.1,master,inf,0.0054024381620665545,true,tb
NP_001305770.1,master,6.1475946966548785,0.311559325742998,true,tb
NP_001304859.1,master,inf,1.393372458767229,true,tb
NP_001303701.1,master,5.866571726008936,0.2579896860437845,true,tb
NP_001303261.1,master,7.366766745843339,0.1228815506478256,true,tb
NP_001303243.1,master,inf,0.5335658073894024,true,tb
NP_001291646.2,master,6.25113627655394,0.4904238291511916,true,tb
NP_002222.1,master,6.109064422215482,0.04542792612371283,true,tb
NP_002155.1,master,inf,0.6854208693529714,true,tb
NP_002124.1,master,inf,0.02374223886482811,true,tb
NP_001240312.1,master,inf,0.5011617853333582,true,tb
NP_058634.4,master,inf,0.24796993474778306,true,tb
NP_057573.2,master,9.753006949571525,0.7631062590410999,true,tb
NP_689473.1,master,inf,0.25462590765654586,true,tb
NP_075447.1,master,inf,0.014507129431784787,true,tb
NP_001230764.1,master,inf,0.2010245883169525,true,tb
NP_997263.2,master,inf,0.12351144095331143,true,tb
NP_001018126.1,master,inf,0.10298773801665327,true,tb
NP_004125.3,master,inf,0.09937360389684137,true,tb
NP_008877.1,master,inf,0.07179494913688703,true,tb
